title,url,tags,sources,verdict,page,sources_dict
"Говорил ли Жуков, что ненависть бандеровцев к русским — это месть труса за испытанный им страх?",https://provereno.media/blog/2025/04/15/govoril-li-zhukov-chto-nenavist-banderovtsev-k-russkim-eto-mest-trusa-za-ispytanny-im-strakh/,"['Украина', 'Великая Отечественная война', 'Жуков']","[{'text': 'пользователи', 'url': 'https://ghostarchive.org/archive/hhIyU'}, {'text': 'X', 'url': 'https://ghostarchive.org/archive/a8kVK'}, {'text': 'ВКонтакте', 'url': 'https://archive.ph/wip/dow3b'}, {'text': 'Facebook', 'url': 'https://mvau.lt/media/be516d5a-1bc5-4f98-a3bd-dbf5f71e287a'}, {'text': 'Telegram', 'url': 'https://tgstat.ru/channel/@Z13_Separ/20728'}]",Неверная атрибуция цитаты,1,"{'пользователи': 'https://ghostarchive.org/archive/hhIyU', 'X': 'https://ghostarchive.org/archive/a8kVK', 'ВКонтакте': 'https://archive.ph/wip/dow3b', 'Facebook': 'https://mvau.lt/media/be516d5a-1bc5-4f98-a3bd-dbf5f71e287a', 'Telegram': 'https://tgstat.ru/channel/@Z13_Separ/20728'}"
"Правда ли, что на картинке показан деревянный фундамент, на котором стоит Венеция?",https://provereno.media/blog/2025/04/14/pravda-li-chto-na-kartinke-pokazan-derevyannyj-fundament-na-kotorom-stoit-veneciya/,"['нейросети', 'архитектура', 'история', 'Италия']","[{'text': 'Facebook', 'url': 'https://archive.ph/YRLrd'}, {'text': 'X', 'url': 'https://archive.ph/YL52n'}, {'text': 'Instagram', 'url': 'https://archive.ph/dbGZ7'}, {'text': 'Threads', 'url': 'https://archive.ph/JlW4T'}, {'text': 'Telegram', 'url': 'https://tgstat.ru/channel/@lav_i_na/19597'}]",Неправда,1,"{'Facebook': 'https://archive.ph/YRLrd', 'X': 'https://archive.ph/YL52n', 'Instagram': 'https://archive.ph/dbGZ7', 'Threads': 'https://archive.ph/JlW4T', 'Telegram': 'https://tgstat.ru/channel/@lav_i_na/19597'}"
"Правда ли, что BBC назвала Залужного следующим президентом Украины?",https://provereno.media/blog/2025/04/14/pravda-li-chto-bbc-nazvala-zaluzhnogo-sleduyuschim-prezidentom-ukrainy/,"['BBC', 'Залужный', 'Украина']","[{'text': 'Шейх Тамир', 'url': 'https://uk.tgstat.com/channel/@sheyhtamir1974/121011'}, {'text': 'Кот Костян', 'url': 'https://tgstat.ru/channel/@kotreal/42259'}, {'text': 'Царьград-ТВ', 'url': 'https://tgstat.ru/channel/@tsargradtv/103173'}, {'text': 'Олеся Лосева', 'url': 'https://tgstat.ru/channel/@Losevatalks/18773'}, {'text': 'ДНР Info', 'url': 'https://uk.tgstat.com/channel/@donetsk_dnr_info/74082'}]",Фейк,1,"{'Шейх Тамир': 'https://uk.tgstat.com/channel/@sheyhtamir1974/121011', 'Кот Костян': 'https://tgstat.ru/channel/@kotreal/42259', 'Царьград-ТВ': 'https://tgstat.ru/channel/@tsargradtv/103173', 'Олеся Лосева': 'https://tgstat.ru/channel/@Losevatalks/18773', 'ДНР Info': 'https://uk.tgstat.com/channel/@donetsk_dnr_info/74082'}"
Говорил ли Бернард Шоу: «Счастливая семья — это ранний рай»?,https://provereno.media/blog/2025/04/13/govoril-li-bernard-shou-schastlivaya-semya-eto-ranny-ray/,"['Бернард Шоу', 'семья', 'цитаты']","[{'text': 'сборниках', 'url': 'https://dzen.ru/a/Xe5LOPVX0ACtuBTy'}, {'text': 'блогах', 'url': 'https://www.drive2.ru/b/593196694741470524/'}, {'text': 'публикациях', 'url': 'https://www.facebook.com/permalink.php/?story_fbid=619623847118972&id=100072140871887'}, {'text': 'Дзен', 'url': 'https://dzen.ru/a/ZsA26wgo4BwiXhar'}, {'text': 'используется', 'url': 'https://www.thevoicemag.ru/lifestyle/stil-zhizni/citaty-o-seme/'}, {'text': 'обсуждения', 'url': 'https://romanticcollection.ru/lovestory/trogatelnye-statusy-pro-semyu'}, {'text': 'приписывают', 'url': 'https://www.google.co.uk/books/edition/Golden/H5HGDgAAQBAJ?hl=ru&gbpv=1&dq=A+happy+family+is+but+an+earlier+heaven&pg=PA119&printsec=frontcover'}]",Неверная атрибуция цитаты,1,"{'сборниках': 'https://dzen.ru/a/Xe5LOPVX0ACtuBTy', 'блогах': 'https://www.drive2.ru/b/593196694741470524/', 'публикациях': 'https://www.facebook.com/permalink.php/?story_fbid=619623847118972&id=100072140871887', 'Дзен': 'https://dzen.ru/a/ZsA26wgo4BwiXhar', 'используется': 'https://www.thevoicemag.ru/lifestyle/stil-zhizni/citaty-o-seme/', 'обсуждения': 'https://romanticcollection.ru/lovestory/trogatelnye-statusy-pro-semyu', 'приписывают': 'https://www.google.co.uk/books/edition/Golden/H5HGDgAAQBAJ?hl=ru&gbpv=1&dq=A+happy+family+is+but+an+earlier+heaven&pg=PA119&printsec=frontcover'}"
"Правдива ли история про астронавта, который записал видеообращение перед тем, как прыгнуть из космоса на Землю?",https://provereno.media/blog/2025/04/12/pravdiva-li-istoriya-pro-astronavta-kotoryj-zapisal-videoobrashenie-pered-tem-kak-prygnut-iz-kosmosa-na-zemlyu/,"['рекорды', 'видео', 'космос', 'нейросети']","[{'text': 'Мир кино', 'url': 'https://archive.is/dxFCr'}, {'text': 'учётом', 'url': 'https://archive.is/2KNuX'}, {'text': 'других', 'url': 'https://archive.is/SA8Zh'}, {'text': 'сообществ', 'url': 'https://archive.is/i1Wha'}, {'text': 'совокупности', 'url': 'https://archive.is/BPgoT'}, {'text': 'видео', 'url': 'https://archive.is/ImxCa'}, {'text': 'посмотрели', 'url': 'https://archive.is/2mL1j'}, {'text': 'Instagram', 'url': 'https://www.instagram.com/p/DGGoh_fsYGx/'}, {'text': 'Facebook', 'url': 'https://archive.is/qlDJp'}, {'text': 'Threads', 'url': 'https://archive.is/Pq2Wf'}]",Большей частью неправда,1,"{'Мир кино': 'https://archive.is/dxFCr', 'учётом': 'https://archive.is/2KNuX', 'других': 'https://archive.is/SA8Zh', 'сообществ': 'https://archive.is/i1Wha', 'совокупности': 'https://archive.is/BPgoT', 'видео': 'https://archive.is/ImxCa', 'посмотрели': 'https://archive.is/2mL1j', 'Instagram': 'https://www.instagram.com/p/DGGoh_fsYGx/', 'Facebook': 'https://archive.is/qlDJp', 'Threads': 'https://archive.is/Pq2Wf'}"
"Правдивы ли истории о народе, который не знает болезней?",https://provereno.media/blog/2025/04/11/pravdivy-li-istorii-o-narode-kotory-ne-znaet-bolezney/,"['здоровье', 'горы', 'история', 'медицина', 'рекорды', 'человек']","[{'text': 'десятки', 'url': 'https://archive.md/JzITX'}, {'text': 'сотни', 'url': 'https://archive.md/ZXz0H'}, {'text': 'тысячи', 'url': 'https://mvau.lt/media/351adc2e-b88d-4f55-8c82-7efbf3c71b21'}, {'text': '1', 'url': 'https://archive.md/XGffu'}, {'text': '2', 'url': 'https://archive.md/sZQ3o'}, {'text': 'YouTube', 'url': 'https://archive.md/8LuTt'}]",Неправда,1,"{'десятки': 'https://archive.md/JzITX', 'сотни': 'https://archive.md/ZXz0H', 'тысячи': 'https://mvau.lt/media/351adc2e-b88d-4f55-8c82-7efbf3c71b21', '1': 'https://archive.md/XGffu', '2': 'https://archive.md/sZQ3o', 'YouTube': 'https://archive.md/8LuTt'}"
"Правда ли, что в России выпустили версию игры The Sims под названием «The россияне»?",https://provereno.media/blog/2025/04/11/pravda-li-chto-v-rossii-vypustili-versiyu-igry-the-sims-pod-nazvaniem-the-rossiyane/,"['компьютерные игры', 'Россия']","[{'text': 'отметили', 'url': 'https://tgstat.ru/channel/@technomotel/7360'}, {'text': 'Прямой эфир. Новости', 'url': 'https://tgstat.ru/channel/@novosti_efir/68290'}, {'text': 'Креатив со звёздочкой', 'url': 'https://tgstat.ru/channel/@creative/11628'}, {'text': 'Клиент всегда прав', 'url': 'https://tgstat.ru/channel/@klientvsprav/10273'}, {'text': 'прокомментировала', 'url': 'https://tgstat.ru/channel/@ekaterina_mizulina/14196'}, {'text': 'Газета.ru', 'url': 'https://www.gazeta.ru/tech/news/2025/04/04/25477634.shtml'}, {'text': 'Ura.ru', 'url': 'http://ura.ru/'}, {'text': 'Мел', 'url': 'https://ura.news/news/1052912729'}, {'text': 'Х', 'url': 'https://x.com/Wild_SPb/status/1908106659756388545'}, {'text': 'ВКонтакте', 'url': 'https://vk.com/wall-460389_15371297'}, {'text': 'Instagram', 'url': 'https://www.instagram.com/nn_vladivostok/p/DIIdMNdIfSp/'}, {'text': 'YouTube', 'url': 'https://www.youtube.com/watch?v=AFoSDxUrVnM'}]","Скорее всего, неправда",1,"{'отметили': 'https://tgstat.ru/channel/@technomotel/7360', 'Прямой эфир. Новости': 'https://tgstat.ru/channel/@novosti_efir/68290', 'Креатив со звёздочкой': 'https://tgstat.ru/channel/@creative/11628', 'Клиент всегда прав': 'https://tgstat.ru/channel/@klientvsprav/10273', 'прокомментировала': 'https://tgstat.ru/channel/@ekaterina_mizulina/14196', 'Газета.ru': 'https://www.gazeta.ru/tech/news/2025/04/04/25477634.shtml', 'Ura.ru': 'http://ura.ru/', 'Мел': 'https://ura.news/news/1052912729', 'Х': 'https://x.com/Wild_SPb/status/1908106659756388545', 'ВКонтакте': 'https://vk.com/wall-460389_15371297', 'Instagram': 'https://www.instagram.com/nn_vladivostok/p/DIIdMNdIfSp/', 'YouTube': 'https://www.youtube.com/watch?v=AFoSDxUrVnM'}"
"Говорил ли Трамп, что США и Италия — союзники со времён Древнего Рима?",https://provereno.media/blog/2025/04/10/govoril-li-tramp-chto-ssha-i-italiya-soyuzniki-so-vremyon-drevnego-rima/,"['Трамп', 'Италия', 'политика', 'США']","[{'text': 'Ватное болото', 'url': 'https://tgstat.ru/channel/@vatnoeboloto/14145'}, {'text': 'War Zone', 'url': 'https://tgstat.ru/ru/channel/@WarZoneInc/99633'}, {'text': 'Министр НКВДВ', 'url': 'https://tgstat.ru/channel/@Ministr_NKVD/994'}, {'text': 'X', 'url': 'https://archive.ph/2Mbiw'}, {'text': 'Facebook', 'url': 'https://archive.ph/VPsGm'}]",Искажённая цитата,1,"{'Ватное болото': 'https://tgstat.ru/channel/@vatnoeboloto/14145', 'War Zone': 'https://tgstat.ru/ru/channel/@WarZoneInc/99633', 'Министр НКВДВ': 'https://tgstat.ru/channel/@Ministr_NKVD/994', 'X': 'https://archive.ph/2Mbiw', 'Facebook': 'https://archive.ph/VPsGm'}"
"Правда ли, что Зеленский купил 51% акций компании по добыче платины в ЮАР?",https://provereno.media/blog/2025/04/10/pravda-li-chto-zelensky-kupil-51-aktsy-kompanii-po-dobyche-platiny-v-yuar/,"['Зеленский', 'политика', 'Украина', 'ЮАР']","[{'text': 'Аргументы и факты', 'url': 'https://web.archive.org/web/20250408204958/https:/aif.ru/money/zelenskiy-kupil-51-akciy-platinovoy-shahty-v-yuar-za-1-6-mlrd-dollarov'}, {'text': 'News.ru', 'url': 'https://web.archive.org/web/20250408204952/https:/news.ru/africa/na-ukraine-rasskazali-o-priobretenii-zelenskogo-v-yuar/'}, {'text': 'Прямой эфир', 'url': 'https://tgstat.ru/channel/@novosti_efir/68315'}, {'text': 'Саня во Флориде', 'url': 'https://tgstat.ru/channel/@sanya_florida/24485'}, {'text': 'Наблюдатель', 'url': 'https://tgstat.ru/channel/algGOzXN7sRhNGVi/49911'}, {'text': 'Дядя Слава', 'url': 'https://tgstat.ru/channel/@slavaded1337/73360'}, {'text': 'Россия сейчас', 'url': 'https://tgstat.ru/channel/@Ria_novosti_rossiya/53956'}]",Фейк,1,"{'Аргументы и факты': 'https://web.archive.org/web/20250408204958/https:/aif.ru/money/zelenskiy-kupil-51-akciy-platinovoy-shahty-v-yuar-za-1-6-mlrd-dollarov', 'News.ru': 'https://web.archive.org/web/20250408204952/https:/news.ru/africa/na-ukraine-rasskazali-o-priobretenii-zelenskogo-v-yuar/', 'Прямой эфир': 'https://tgstat.ru/channel/@novosti_efir/68315', 'Саня во Флориде': 'https://tgstat.ru/channel/@sanya_florida/24485', 'Наблюдатель': 'https://tgstat.ru/channel/algGOzXN7sRhNGVi/49911', 'Дядя Слава': 'https://tgstat.ru/channel/@slavaded1337/73360', 'Россия сейчас': 'https://tgstat.ru/channel/@Ria_novosti_rossiya/53956'}"
"Правда ли, что Путин выразил желание, чтобы в биографическом фильме его сыграл Юра Борисов?",https://provereno.media/blog/2025/04/09/pravda-li-chto-putin-vyrazil-zhelanie-chtoby-v-biograficheskom-filme-ego-sygral-yura-borisov1/,"['Путин', 'кино', 'слухи про знаменитостей']","[{'text': 'Самый полезный паблик', 'url': 'https://archive.is/7IPSM'}, {'text': 'может', 'url': 'https://archive.is/4Fsah'}, {'text': 'получил', 'url': 'https://archive.is/AbqfR'}, {'text': 'Вишнёвая кола', 'url': 'https://archive.is/AbqfR'}, {'text': 'Кинопремьеры 2025 | Фильмы | Сериалы', 'url': 'https://archive.is/4Fsah'}, {'text': 'О блин! — Где блин? — Вон блин!', 'url': 'https://archive.is/8sLO7'}, {'text': 'Stand Up Rezka', 'url': 'https://archive.is/BwOkU'}, {'text': 'Эта весёлая Россия', 'url': 'https://archive.is/rzToA'}, {'text': 'Ты чево блин', 'url': 'https://archive.is/PgnAb'}, {'text': 'тут', 'url': 'https://tgstat.ru/channel/@iGorodovoy/66402'}, {'text': 'тут', 'url': 'https://tgstat.ru/channel/@syndicatnews/6320'}, {'text': 'тут', 'url': 'https://tgstat.ru/channel/@oursergievposad/15978'}, {'text': 'Instagram', 'url': 'https://archive.is/NIfVM'}]",Сатирические новости,1,"{'Самый полезный паблик': 'https://archive.is/7IPSM', 'может': 'https://archive.is/4Fsah', 'получил': 'https://archive.is/AbqfR', 'Вишнёвая кола': 'https://archive.is/AbqfR', 'Кинопремьеры 2025 | Фильмы | Сериалы': 'https://archive.is/4Fsah', 'О блин! — Где блин? — Вон блин!': 'https://archive.is/8sLO7', 'Stand Up Rezka': 'https://archive.is/BwOkU', 'Эта весёлая Россия': 'https://archive.is/rzToA', 'Ты чево блин': 'https://archive.is/PgnAb', 'тут': 'https://tgstat.ru/channel/@oursergievposad/15978', 'Instagram': 'https://archive.is/NIfVM'}"
"Правда ли, что в Украине женщину заставляют убрать фразу «незаконно мобилизованный» с надгробия сына?",https://provereno.media/blog/2025/04/09/pravda-li-chto-v-ukraine-zhenshinu-zastavlyayut-ubrat-frazu-nezakonno-mobilizovannyj-s-nadgrobiya-syna/,"['Украина', 'война', 'пропаганда', 'фотофейк']","[{'text': 'Скептик', 'url': 'https://uk.tgstat.com/channel/@skeptik_21/11957'}, {'text': 'Украина.ру', 'url': 'https://uk.tgstat.com/channel/@ukr_2025_ru/239909'}, {'text': 'Шейх Тамир', 'url': 'https://uk.tgstat.com/channel/@sheyhtamir1974/121116'}, {'text': 'Кот Костян — официальный канал', 'url': 'https://uk.tgstat.com/channel/@kotreal/42334'}, {'text': 'Александр Семченко', 'url': 'https://uk.tgstat.com/channel/@AleksandrSemchenko/56842'}, {'text': 'Гаспарян', 'url': 'https://uk.tgstat.com/channel/@ASGasparyan/63776'}, {'text': 'Другая Украина', 'url': 'https://archive.ph/dXvzf'}, {'text': 'Военное обозрение', 'url': 'https://archive.ph/P8SrT'}, {'text': 'Царьград', 'url': 'https://uk.tgstat.com/channel/@tsargradtv/103297'}, {'text': 'News.ru', 'url': 'https://archive.ph/RCKkz'}, {'text': 'Блокнот', 'url': 'https://tgstat.ru/channel/@bloknot_rossiya/93381'}, {'text': 'Life.ru', 'url': 'https://archive.ph/nOLSr'}, {'text': 'Саня во Флориде', 'url': 'https://tgstat.ru/channel/@sanya_florida/24507'}]",Фейк,1,"{'Скептик': 'https://uk.tgstat.com/channel/@skeptik_21/11957', 'Украина.ру': 'https://uk.tgstat.com/channel/@ukr_2025_ru/239909', 'Шейх Тамир': 'https://uk.tgstat.com/channel/@sheyhtamir1974/121116', 'Кот Костян — официальный канал': 'https://uk.tgstat.com/channel/@kotreal/42334', 'Александр Семченко': 'https://uk.tgstat.com/channel/@AleksandrSemchenko/56842', 'Гаспарян': 'https://uk.tgstat.com/channel/@ASGasparyan/63776', 'Другая Украина': 'https://archive.ph/dXvzf', 'Военное обозрение': 'https://archive.ph/P8SrT', 'Царьград': 'https://uk.tgstat.com/channel/@tsargradtv/103297', 'News.ru': 'https://archive.ph/RCKkz', 'Блокнот': 'https://tgstat.ru/channel/@bloknot_rossiya/93381', 'Life.ru': 'https://archive.ph/nOLSr', 'Саня во Флориде': 'https://tgstat.ru/channel/@sanya_florida/24507'}"
"Правдивы ли эти фото с Пикачу, Бэтменом, Джокером и Человеком-пауком на протестах в Турции?",https://provereno.media/blog/2025/04/08/pravdivy-li-eti-foto-s-pikachu-betmenom-dzhokerom-i-chelovekom-paukom-na-protestah-v-turcii/,"['Турция', 'DC', 'нейросети', 'протесты', 'Человек-паук']","[{'text': 'Marvel / DC: Geek Movies', 'url': 'https://archive.is/iCAF0'}, {'text': 'MyComics | Marvel', 'url': 'https://archive.is/aHXrH'}, {'text': 'Вселенная Marvel / DC', 'url': 'https://archive.is/E7V3h'}, {'text': 'Вселенная Marvel | DC', 'url': 'https://archive.is/CJkWN'}, {'text': 'Ян Майлз Чонг', 'url': 'https://archive.is/pXD6g'}, {'text': 'Прямой эфир', 'url': 'https://tgstat.ru/channel/@novosti_efir/68077'}, {'text': 'Рифмы и панчи', 'url': 'https://tgstat.ru/channel/@rhymestg/163336'}, {'text': 'Voblya', 'url': 'https://tgstat.ru/channel/@belgorod_kurskk_voina/76514'}, {'text': 'Блокнот Россия 18+', 'url': 'https://tgstat.ru/channel/@bloknot_rossiya/93037'}, {'text': 'С места событий', 'url': 'https://tgstat.ru/channel/@smestanews/49803'}, {'text': 'турецком', 'url': 'https://ghostarchive.org/archive/YB3bq'}, {'text': 'французском', 'url': 'https://archive.is/b8Zir'}, {'text': 'испанском', 'url': 'https://perma.cc/Y5N2-CB42'}, {'text': 'греческом', 'url': 'https://perma.cc/U7S9-D8BK'}]",Неправда,1,"{'Marvel / DC: Geek Movies': 'https://archive.is/iCAF0', 'MyComics | Marvel': 'https://archive.is/aHXrH', 'Вселенная Marvel / DC': 'https://archive.is/E7V3h', 'Вселенная Marvel | DC': 'https://archive.is/CJkWN', 'Ян Майлз Чонг': 'https://archive.is/pXD6g', 'Прямой эфир': 'https://tgstat.ru/channel/@novosti_efir/68077', 'Рифмы и панчи': 'https://tgstat.ru/channel/@rhymestg/163336', 'Voblya': 'https://tgstat.ru/channel/@belgorod_kurskk_voina/76514', 'Блокнот Россия 18+': 'https://tgstat.ru/channel/@bloknot_rossiya/93037', 'С места событий': 'https://tgstat.ru/channel/@smestanews/49803', 'турецком': 'https://ghostarchive.org/archive/YB3bq', 'французском': 'https://archive.is/b8Zir', 'испанском': 'https://perma.cc/Y5N2-CB42', 'греческом': 'https://perma.cc/U7S9-D8BK'}"
