url,title,full_text,date_published,views,author
https://tgstat.ru/channel/@Z13_Separ/20728,,"«Я часто думал о природе ненависти бандеровцев к Русским, пока не встретил выражение: месть-это ненависть труса за испытанный им страх»
©Георгий Жуков.","22 Oct 2023, 13:08",123.8k,Тринадцатый.
https://tgstat.ru/channel/@lav_i_na/19597,,"А Вы знали, что:
Венеция-город, плавающий на затопленном лесу?!
С 421 года нашей эры Венеция стоит на миллионах стволов деревьев, воткнутых в глинистое дно лагуны. Не сталь или бетон, а в основном ольха с несколькими дубами поддерживают весь город.
В соленой воде эти деревянные столбы со временем окаменели, став твердыми, как камень. Одна только Кампанила Святого Марка стоит на 100 000 свай, в то время как величественная Базилика делла Салюте потребовала более миллиона стволов. Древние строители вбили эти деревья в морское дно, создав настоящий затопленный лес.
Это уникальное сооружение простирается на глубину до трех метров, а сваи расположены всего в полуметре друг от друга. Находясь на глубине 1,6 метра ниже ватерлинии, это необыкновенное достижение средневековой инженерии продолжает, спустя 1500 лет, поддерживать один из самых захватывающих городов в мире.
Источники: Архитектурные исследования, исторические и археологические документы Университета Флориды.","17 Mar, 08:12",10.7k,Снежная Лавина
https://uk.tgstat.com/channel/@sheyhtamir1974/121011,,Британцы уже не скрывают))),"31 Mar, 22:00",133.8k,Шейх Тамир
https://tgstat.ru/channel/@kotreal/42259,,"Британцы уже совсем не стесняются. BBC титруют Залужного как «следующего президента Украины»
Кот😼Костян","31 Mar, 17:48",81.9k,Кот Костян - официальный канал🇷🇺
https://tgstat.ru/channel/@tsargradtv/103173,,"Встречайте! Британцы выбрали следующего президента Украины — Залужного. BBC News окончательно списала Зеленского. Уже не стесняются.
Незалежность — это когда у тебя не только забирают полезные ископаемые, но и выбирают за тебя президентов.
🤴
Царьград.ТВ — Не боимся говорить правду | Подпишись","31 Mar, 16:16",76.7k,Царьград ТВ
https://tgstat.ru/channel/@Losevatalks/18773,,"BBC титруют Залужного как «следующего президента Украины». Британцы играют в открытую
Экс-главкома ВСУ и посла Украины в Великобритании Валерия Залужного уже называют главным соперником Зеленского на выборах президента Украины.
«
Пока Вашингтон призывает Киев как можно скорее провести президентские выборы, бывший командующий украинскими войсками Валерий Залужный доводит до идеала свой имидж
», — говорится в материале
Le Point.","31 Mar, 19:24",38.4k,Олеся Лосева
https://uk.tgstat.com/channel/@donetsk_dnr_info/74082,,"Британцы уже совсем не стесняются. BBC титруют Залужного как «следующего президента Украины»
Подписаться
|
Предложить новость","31 Mar, 19:59",37.3k,ДНР INFO 🇷🇺
https://tgstat.ru/channel/@technomotel/7360,,"Шаман и Мизулина теперь герои
The Sims:
в местной лавке Питера нашли уникальное — импортозамещённая «The Россияне».
Внутри настоящая деревня, можно
пахать огород
, топить печь и отмечать христианские праздники. Цена всего 119 рублей.
Лучше уже не будет.","4 Apr, 15:25",211.3k,Техномотель
https://tgstat.ru/channel/@novosti_efir/68290,,"«The Sims» заменили на
«The Россияне» — с персонажами Шаманом и Мизулиной,
а также с православным геймплеем.
Игра продаётся в Санкт-Петербурге за 119 рублей
📢
Прямой эфир","4 Apr, 13:40",794.1k,Прямой Эфир • Новости
https://tgstat.ru/channel/@creative/11628,,"The Sims мёртв, теперь на хайпе игра «The Россияне» с Шаманом и Мизулиной на обложке. Диск заметили в питерском магазине игр, цена скромная — 119 рублей, эмоции незабываемые 😂
Девочки, сдувайте пыль со своих компьютеров, самое время окунуться в мир русской деревни.","4 Apr, 12:59",341.9k,Креатив со звездочкой
https://tgstat.ru/channel/@klientvsprav/10273,,"«The Россияне» нашли в питерском магазине. Убийца Sims с Шаманом и Мизулиной стоит скромные 119 рублей.
Игра года, наконец-то.","4 Apr, 13:31",234k,Клиент всегда прав
https://tgstat.ru/channel/@ekaterina_mizulina/14196,,Где такую купить? 🤣,"4 Apr, 13:18",279.1k,Екатерина Мизулина
https://tgstat.ru/channel/@vatnoeboloto/14145,,"⚡️Трамп заявил, что Соединённые Штаты и Италия были союзниками ещё со времён Древнего Рима.
Реакция переводчика — бесценна!
Ватное болото","7 Apr, 10:54",278.5k,Ватное болото
https://tgstat.ru/ru/channel/@WarZoneInc/99633,,"Трамп:
США и Италия были союзниками со времен Древнего Рима.
Переводчик:
War Zone ✙ ➔ △ подписаться","7 Apr, 14:25",14.5k,War Zone ✙ ➔ △
https://tgstat.ru/channel/@Ministr_NKVD/994,,"​
Трамп заявил, что Соединённые Штаты и Италия были союзниками ещё со времён Древнего Рима.
Эта женщина – переводчица. Её реакция говорит сама за себя😁","7 Apr, 11:22",6.9k,Министр НКВД
https://tgstat.ru/channel/@novosti_efir/68315,,"Зеленский купил себе платиновую шахту в ЮАР за $1,6 млрд
— АиФ.
""Президент Украины"" приобрёл 51% акций Northam Platinum и стал её собственником. О смене собственника рассказали и сотрудники предприятия.
Ранее СМИ сообщили, что Зеленский посетит ЮАР 10 апреля. Предположительно, в это же время состоится встреча профсоюза с рабочими, чтобы убедиться, что они не против сделки
📢
Прямой эфир","4 Apr, 22:48",852.3k,Прямой Эфир • Новости
https://tgstat.ru/channel/@sanya_florida/24485,,"Зеленский купил компанию по добыче платины в ЮАР за 1.6 миллиарда долларов
-
южноафриканские СМИ
Накануне визита Зеленского в ЮАР, который должен состояться 10 апреля, стало известно что он приобрел контрольный пакет акций Northam Platinum LTD. Компания является крупнейшим добытчиком платины в ЮАР. Южноафриканские СМИ оценили сделку в 27 миллиардов рэндов, что приблизительно равно 1,6 миллиарда долларов США. По словам шахтеров, пару недель назад им сообщили, что у компании теперь новый собственник.
Похоже, Зеленский решил заключить свою собственную сделку по редкоземельным металлам. Помимо платины, Northam Platinum добывает палладий, родий и другие элементы.","4 Apr, 14:35",541.7k,Саня во Флориде
https://tgstat.ru/channel/algGOzXN7sRhNGVi/49911,,"Сделка по металлам: Зеленский приобрел 51% Northam Platinum – крупнейшего добытчика платины в ЮАР за $1,6 миллиарда
Накануне визита Зеленского в ЮАР стало известно о приобретении украинским президентом контрольной доли Northam Platinum LTD. Добывающая компания, специализирующаяся на платине, является одной из крупнейших в ЮАР. Размер сделки оценивается в 1.6 миллиарда долларов США. СМИ ЮАР уже назвали эту сделку одной из крупнейших на рынке добывающих компаний страны за последний несколько лет.
Зеленский планирует посетить ЮАР 10 апреля.","4 Apr, 13:33",190k,Наблюдатель👁️
https://tgstat.ru/channel/@slavaded1337/73360,,"Сделка по металлам: Зеленский приобрел 51% Northam Platinum – крупнейшего добытчика платины в ЮАР за $1,6 миллиарда
Накануне визита Зеленского в ЮАР стало известно о приобретении украинским президентом контрольной доли Northam Platinum LTD. Добывающая компания, специализирующаяся на платине, является одной из крупнейших в ЮАР. Размер сделки оценивается в 1.6 миллиарда долларов США. СМИ ЮАР уже назвали эту сделку одной из крупнейших на рынке добывающих компаний страны за последний несколько лет.
Зеленский планирует посетить ЮАР 10 апреля.
Дядя Слава. Подписаться.","4 Apr, 14:19",180k,Дядя Слава
https://tgstat.ru/channel/@Ria_novosti_rossiya/53956,,"Сделка по металлам: Зеленский приобрел 51% Northam Platinum – крупнейшего добытчика платины в ЮАР за $1,6 миллиарда
Накануне визита Зеленского в ЮАР стало известно о приобретении украинским президентом контрольной доли Northam Platinum LTD. Добывающая компания, специализирующаяся на платине, является одной из крупнейших в ЮАР. Размер сделки оценивается в 1.6 миллиарда долларов США. СМИ ЮАР уже назвали эту сделку одной из крупнейших на рынке добывающих компаний страны за последний несколько лет. Зеленский планирует посетить ЮАР 10 апреля.","4 Apr, 13:46",173.9k,Россия сейчас • Новости
https://uk.tgstat.com/channel/@skeptik_21/11957,,"В соцсетях распространяется фото надгробия погибшего бойца ВСУ, на котором по просьбе матери написали «Незаконно мобилизованный».
Сообщают, что ей начали угрожать судом и требуют убрать надпись.","3 Apr, 09:20",148.8k,Скептик
https://uk.tgstat.com/channel/@ukr_2025_ru/239909,,"🇺🇦
В соцсетях распространяется фото надгробия погибшего всушника, на котором по просьбе матери написали «Незаконно мобилизованный»
Сообщают, что ей начали угрожать судом и требуют убрать надпись.","2 Apr, 17:10",134.2k,Украина.ру
https://uk.tgstat.com/channel/@sheyhtamir1974/121116,,"Женщина из Киевской области написала на надгробии погибшего под Сумами сына «Незаконно мобилизованный». Теперь ее травят в соц сетях и требуют убрать надпись через суд, иначе администрация кладбища демонтирует надгробие.","2 Apr, 13:54",113.7k,Шейх Тамир
https://uk.tgstat.com/channel/@kotreal/42334,,"Женщина из Киевской области написала на надгробии погибшего под Сумами сына «Незаконно мобилизованный». Теперь её травят в соцсетях и требуют убрать надпись через суд, иначе администрация кладбища демонтирует надгробие.
Правда глаза колет, хохлики?!
Кот😼Костян","2 Apr, 15:05",76.5k,Кот Костян - официальный канал🇷🇺
https://uk.tgstat.com/channel/@AleksandrSemchenko/56842,,"‼️Суд в Броварах Киевской области обязал мать погибшего воина сменить надпись на надгробии «Незаконно мобилизованный»
Горрайонный суд принял решение, обязывающее мать погибшего военнослужащего изменить надпись «Незаконно мобилизованный» на надгробном памятнике ее сына. Как указано в постановлении суда, такая надпись «порочит честь и достоинство».
Порочит честь и достоинство?
Чью? Уродов какие загнать парня в могилу?
Подпишись на Телеграм Александр Семченко","3 Apr, 17:59",77.3k,Александр Семченко
https://uk.tgstat.com/channel/@ASGasparyan/63776,,"Надгробие погибшего украинца. По просьбе матери написали ""Незаконно мобилизованный"". И сразу ей начали угрожать за это судом
🤩
Подписывайтесь на
ГАСПАРЯН","2 Apr, 20:52",66.5k,ГАСПАРЯН
https://uk.tgstat.com/channel/@tsargradtv/103297,,"Мать погибшего вээсушника написала на надгробии «Незаконно мобилизованный». Теперь ей грозят судом и требуют убрать надпись.
Незаконная страна незаконно мобилизует украинцев, а вишенка на торте во всём этом бреду под названием «Украина» — незаконный президент.
🤴
Царьград.ТВ — Не боимся говорить правду | Подпишись","2 Apr, 15:55",121.5k,Царьград ТВ
https://tgstat.ru/channel/@bloknot_rossiya/93381,,"Мать погибшего ВСУшника написала на надгробии ""Незаконно мобилизованный"". Теперь ей грозят судом и требуют убрать надпись.
Незаконная страна незаконно мобилизует украинцев, а вишенка на торте во всем этом бреду под названием ""Украина"" - незаконный президент.
🤴
Царьград.ТВ — Не боимся говорить правду | Подпишись","2 Apr, 15:57",48k,Блокнот Россия 18+
https://tgstat.ru/channel/@sanya_florida/24507,,Незаконно мобилизованный украинец...,"5 Apr, 13:05",532.6k,Саня во Флориде
https://tgstat.ru/channel/@novosti_efir/68077,,"В Турции на митинге против Эрдогана
появился «Бэтмен», а ранее Пикачу скрывался от полиции
на протесте
📢
Прямой эфир","29 Mar, 20:55",778.7k,Прямой Эфир • Новости
https://tgstat.ru/channel/@rhymestg/163336,,"🥺
Обстановка в Турции: Пикачу мчится от полиции под советский марш из Red Alert
пользователи Reddit активно обсуждают эту ситуацию, отмечая его
абсурдность и креативность
некоторые выражают удивление от неожиданного сочетания элементов, другие — восхищение оригинальностью идеи
❤️
— это что, новый уровень кроссоверов?
🤣
— миры рушатся, а Пикачу всё равно в центре событий","27 Mar, 21:15",151.3k,Рифмы и Панчи 🤯
https://tgstat.ru/channel/@bloknot_rossiya/93037,,"«Я считаю, что это большая несправедливость»
В Турции на митинге против Эрдогана внезапно появился «Бэтмен». Ранее Пикачу скрывался от полиции на протесте.
🌐
Блокнот
👨🏻‍🔧
Работа
🚘
Авто
🏕
Глэмпинг","29 Mar, 21:50",52.6k,Блокнот Россия 18+
https://tgstat.ru/channel/@smestanews/49803,,"⚡️В Турции на митинге против Эрдогана
появился «Бэтмен», а ранее Пикачу скрывался от полиции
на протесте
С МЕСТА СОБЫТИЯ","29 Mar, 21:34",51.4k,С МЕСТА СОБЫТИЯ
